accession-ID	length	lab_construct	virus_name	virus_full_name	host_species	host_common_name	assign_clade	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	virus_subfamily	virus_genus
JA400141	2208	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400142	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400143	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400144	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400145	2214	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400146	2214	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400147	2214	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400148	2217	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400149	2214	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400150	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400151	2214	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400152	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400153	2211	FALSE	AAV-8	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400154	2211	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400155	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400156	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400157	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400158	2209	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400159	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400160	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400161	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400162	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400163	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400164	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400165	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400166	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400167	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400168	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400169	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400170	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400171	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400172	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400173	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400174	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400175	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400176	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400177	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400178	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400179	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400180	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400181	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400182	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400183	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400184	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400185	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400186	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400187	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400188	2211	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400189	2211	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400190	2214	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400191	2211	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400192	2211	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400278	3159	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400280	3158	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400284	3159	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400286	3160	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400287	3157	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400288	3163	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400311	2205	FALSE	AAV-4	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400312	2211	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400314	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400315	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400316	2205	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400317	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400318	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400319	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400320	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400321	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA400322	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JC043220	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JC043222	2217	FALSE	AAV-8	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235804	2211	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235805	2214	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235806	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235807	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235808	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235809	2211	FALSE	AAV-9	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235810	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235811	2208	FALSE	AAV-6	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KT235812	2208	FALSE	AAV-3	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KX675256	507	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KX708593	515	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KX788853	558	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KX788854	517	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KX788855	511	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
KX788856	513	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LF147914	2217	FALSE	AAV-8	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LF847013	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LG000190	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ715483	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ715485	2217	FALSE	AAV-8	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753672	2208	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753674	2211	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753676	2214	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753678	2214	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753680	2214	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753682	2214	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753684	2211	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753686	2205	FALSE	AAV-6	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753688	2205	FALSE	AAV-3	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753705	2211	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LQ753713	2211	FALSE	AAV-9	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LZ950375	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LZ950376	2214	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LZ950377	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LZ950378	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LZ950379	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LZ950380	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
LZ950381	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
DJ334182	2181	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
HV591550	2181	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
HW509618	2181	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062574	2211	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062575	2211	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062576	2211	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062577	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062578	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062579	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062580	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062581	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062582	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062583	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062584	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062585	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062586	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062587	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062588	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062589	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062590	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062591	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062592	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062593	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062594	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062595	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062596	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062597	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062598	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062599	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062600	2217	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062601	2196	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062602	2196	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062603	2196	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062604	2208	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA062605	2214	TRUE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
