sequenceID	subfamily	genus	clade	length	name	full_name	host_sci_name	host_common_name	virus_subfamily	virus_genus
JA231827	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231828	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231829	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231830	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231831	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231832	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231833	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231834	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231835	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231836	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231837	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231838	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231839	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231840	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231841	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231842	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231843	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231844	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231845	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231846	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231847	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231848	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231849	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231850	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231851	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231852	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231853	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231854	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231855	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231856	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231857	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231858	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231859	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231860	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231861	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231862	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231863	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231864	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231865	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231866	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231867	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231868	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231869	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231870	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231871	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231872	Parvovirinae	Dependovirus	-	2209	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231873	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231874	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231875	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231876	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231877	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231878	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231879	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231880	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231881	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231882	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231883	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231884	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231885	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231886	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231887	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231888	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231889	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231890	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231891	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231892	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231893	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231894	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231895	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231896	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231897	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231898	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231899	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231900	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231901	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231902	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231903	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231904	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231905	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231906	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231994	Parvovirinae	Dependovirus	-	3158	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231998	Parvovirinae	Dependovirus	-	3159	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232000	Parvovirinae	Dependovirus	-	3160	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232001	Parvovirinae	Dependovirus	-	3157	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232002	Parvovirinae	Dependovirus	-	3163	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232023	Parvovirinae	Dependovirus	-	2175	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232024	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232025	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232026	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232027	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232028	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232029	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232030	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232031	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232032	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232033	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232034	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232035	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232036	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232037	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232038	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232039	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232061	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232062	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232063	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232064	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232065	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232066	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232067	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232068	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232069	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232070	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232071	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232072	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232073	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232074	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232075	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232076	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232077	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232078	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232079	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232080	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232081	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232082	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232083	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232084	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232085	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232086	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232087	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232088	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232089	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232090	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232091	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232092	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232093	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232094	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232095	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232096	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232097	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232098	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232099	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232100	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232101	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232102	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232103	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232104	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232105	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232106	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232107	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232108	Parvovirinae	Dependovirus	-	2209	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232109	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232110	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232111	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232112	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232113	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232114	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232115	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232116	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232117	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232118	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232119	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232120	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232121	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232122	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232123	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232124	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232125	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232126	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232127	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232128	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232129	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232130	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232131	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232132	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232133	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232134	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232135	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232136	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232137	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232138	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232139	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232140	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232141	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232142	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232226	Parvovirinae	Dependovirus	-	3162	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232228	Parvovirinae	Dependovirus	-	3159	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232230	Parvovirinae	Dependovirus	-	3158	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232234	Parvovirinae	Dependovirus	-	3159	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232236	Parvovirinae	Dependovirus	-	3160	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232237	Parvovirinae	Dependovirus	-	3157	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232238	Parvovirinae	Dependovirus	-	3163	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232259	Parvovirinae	Dependovirus	-	2175	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232260	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232261	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232262	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232263	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232264	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232265	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232266	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232267	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232268	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232269	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232270	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232271	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232272	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232273	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232274	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA232275	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA400111	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA400112	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA400113	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA400114	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA400115	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA400116	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
