organism,Species,target_version,Class,Superorder,Order,Family,Genus
Mus_pahari,Mus pahari,REL-1509-EiJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_spretus,Mus spretus,SPRET_EiJ_v1,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Odocoileus_virginianus,Odocoileus virginianus,RRL-RSL_1.0,Mammalia,Laurasiatheria,Unclassified,Cervidae,Odocoileus
Tupaia_chinensis,Tupaia chinensis,TupChi_1.0,Mammalia,Euarchontoglires,Scandentia,Tupaiidae,Tupaia
Amazona_aestiva,Amazona aestiva,ASM142067v1,Aves,Neognathae,Psittaciformes,Psittacidae,Amazona
Lyrurus_tetrix,Lyrurus tetrix,tetTet1,Aves,Neognathae,Galliformes,Phasianidae,Lyrurus
Nanorana_parkeri,Nanorana parkeri,GCA_000935625.1,Amphibia,Batrachia,Anura,Dicroglossidae,Nanorana
Anoplopoma_fimbria,Anoplopoma fimbria,AnoFim1.0,Actinopteri,Unclassified,Perciformes,Anoplopomatidae,Anoplopoma
Anser_cygnoides,Anser cygnoides,PRJNA183603,Aves,Neognathae,Anseriformes,Anatidae,Anser
Ara_macao,Ara macao,SMACv1.1,Aves,Neognathae,Psittaciformes,Psittacidae,Ara
Myodes_glareolus,Myodes glareolus,ASM130578v1,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Myodes
Rhamphochromis_esox,Rhamphochromis esox,ASM15093v1,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Rhamphochromis
Anolis_carolinensis,Anolis carolinensis,goldenPath_anoCar2,Unclassified,Lepidosauria,Squamata,Iguanidae,Anolis
Anguilla_anguilla,Anguilla anguilla,v1,Actinopteri,Unclassified,Anguilliformes,Anguillidae,Anguilla
Apalone_spinifera,Apalone spinifera,Apla_1.0,Unclassified,Unclassified,Testudines,Trionychidae,Apalone
Boleophthalmus_pectinirostris,Boleophthalmus pectinirostris,1_BP,Actinopteri,Unclassified,Gobiiformes,Gobiidae,Boleophthalmus
Crotalus_mitchellii_pyrrhus,Crotalus mitchellii pyrrhus,CrotMitch1.0,Unclassified,Lepidosauria,Squamata,Viperidae,Crotalus
Eulemur_flavifrons,Eulemur flavifrons,Eflavifronsk33QCA,Mammalia,Euarchontoglires,Primates,Lemuridae,Eulemur
Giraffa_camelopardalis_tippelskirchi,Giraffa camelopardalis tippelskirchi,ASM165123v1,Mammalia,Laurasiatheria,Unclassified,Giraffidae,Giraffa
Ophiophagus_hannah,Ophiophagus hannah,OphHan1.0,Unclassified,Lepidosauria,Squamata,Elapidae,Ophiophagus
Pantherophis_guttatus,Pantherophis guttatus,PanGut1.0,Unclassified,Lepidosauria,Squamata,Colubridae,Pantherophis
Thunnus_orientalis,Thunnus orientalis,Ba_1.0,Actinopteri,Unclassified,Scombriformes,Scombridae,Thunnus
Vipera_berus,Vipera berus,Vber.be_1.0,Unclassified,Lepidosauria,Squamata,Viperidae,Vipera
Zosterops_lateralis,Zosterops lateralis,ASM128173v1,Aves,Neognathae,Passeriformes,Zosteropidae,Zosterops
Crotalus_horridus,Crotalus horridus,v1,Unclassified,Lepidosauria,Squamata,Viperidae,Crotalus
Pseudopleuronectes_yokohamae,Pseudopleuronectes yokohamae,Pyoko_1.0,Actinopteri,Unclassified,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes
Amphilophus_citrinellus,Amphilophus citrinellus,Midas_v5,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Amphilophus
Anguilla_japonica,Anguilla japonica,v1_25_oct_2011,Actinopteri,Unclassified,Anguilliformes,Anguillidae,Anguilla
Cyprinodon_nevadensis_pectoralis,Cyprinodon nevadensis pectoralis,v1,Actinopteri,Atherinomorphae,Cyprinodontiformes,Cyprinodontidae,Cyprinodon
Dicentrarchus_labrax,Dicentrarchus labrax,seabass_V1.0,Actinopteri,Unclassified,Unclassified,Moronidae,Dicentrarchus
Labeotropheus_fuelleborni,Labeotropheus fuelleborni,v1,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Labeotropheus
Pampus_argenteus,Pampus argenteus,PamArg1.0,Actinopteri,Unclassified,Scombriformes,Stromateidae,Pampus
Periophthalmodon_schlosseri,Periophthalmodon schlosseri,PS,Actinopteri,Unclassified,Gobiiformes,Gobiidae,Periophthalmodon
Anguilla_rostrata,Anguilla rostrata,v1,Actinopteri,Unclassified,Anguilliformes,Anguillidae,Anguilla
Cottus_rhenanus,Cottus rhenanus,v1,Actinopteri,Unclassified,Perciformes,Cottidae,Cottus
Cyprinodon_variegatus,Cyprinodon variegatus,C_variegatus-1.0,Actinopteri,Atherinomorphae,Cyprinodontiformes,Cyprinodontidae,Cyprinodon
Kryptolebias_marmoratus,Kryptolebias marmoratus,v1,Actinopteri,Atherinomorphae,Cyprinodontiformes,Unclassified,Kryptolebias
Serinus_canaria,Serinus canaria,ncbi_100,Aves,Neognathae,Passeriformes,Fringillidae,Serinus
Takifugu_flavidus,Takifugu flavidus,v1,Actinopteri,Unclassified,Tetraodontiformes,Tetraodontidae,Takifugu
Cynops_pyrrhogaster,Cynops pyrrhogaster,sung-2016,Amphibia,Batrachia,Caudata,Salamandridae,Cynops
Cyprinus_carpio,Cyprinus carpio,v1_2015,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Cyprinus
Ictalurus_punctatus,Ictalurus punctatus,IpCoco_1.2,Actinopteri,Characiphysae,Siluriformes,Ictaluridae,Ictalurus
Lates_calcarifer,Lates calcarifer,ASM164080v1,Actinopteri,Unclassified,Unclassified,Centropomidae,Lates
Lethenteron_camtschaticum,Lethenteron camtschaticum,LetJap1.0,Unclassified,Unclassified,Petromyzontiformes,Petromyzontidae,Lethenteron
Leuciscus_waleckii,Leuciscus waleckii,Amur_ide_v1,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Leuciscus
Leucoraja_erinacea,Leucoraja erinacea,LER_WGS_1,Chondrichthyes,Batoidea,Rajiformes,Rajidae,Leucoraja
Mchenga_conophoros,Mchenga conophoros,ASM15085v1,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Mchenga
Miichthys_miiuy,Miichthys miiuy,ASM159371v1,Actinopteri,Unclassified,Unclassified,Sciaenidae,Miichthys
Periophthalmus_magnuspinnatus,Periophthalmus magnuspinnatus,GCA_000787105,Actinopteri,Unclassified,Gobiiformes,Gobiidae,Periophthalmus
Pimephales_promelas,Pimephales promelas,GCA_000700825.1,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Pimephales
Pygocentrus_nattereri,Pygocentrus nattereri,1.0.2,Actinopteri,Characiphysae,Characiformes,Serrasalmidae,Pygocentrus
Rhincodon_typus,Rhincodon typus,Rhincodon_v1,Chondrichthyes,Galeoidea,Orectolobiformes,Rhincodontidae,Unclassified
Scartelaos_histophorus,Scartelaos histophorus,SH,Actinopteri,Unclassified,Gobiiformes,Gobiidae,Scartelaos
Scleropages_formosus,Scleropages formosus,aro_v2,Actinopteri,Unclassified,Osteoglossiformes,Osteoglossidae,Scleropages
Sebastes_nigrocinctus,Sebastes nigrocinctus,Snig1.0,Actinopteri,Unclassified,Perciformes,Sebastidae,Sebastes
Sebastes_rubrivinctus,Sebastes rubrivinctus,SRub1.0,Actinopteri,Unclassified,Perciformes,Sebastidae,Sebastes
Sinocyclocheilus_rhinocerous,Sinocyclocheilus rhinocerous,SAMN03320098_v1,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Sinocyclocheilus
Xiphophorus_couchianus,Xiphophorus couchianus,4.0.1,Actinopteri,Atherinomorphae,Cyprinodontiformes,Poeciliidae,Xiphophorus
Xiphophorus_hellerii,Xiphophorus hellerii,3.0.1,Actinopteri,Atherinomorphae,Cyprinodontiformes,Poeciliidae,Xiphophorus
Ellobius_lutescens,Ellobius lutescens,ASM168507v1,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Ellobius
Ellobius_talpinus,Ellobius talpinus,ETalpinus_0.1,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Ellobius
Manis_javanica,Manis javanica,ManJav1.0,Mammalia,Laurasiatheria,Pholidota,Manidae,Manis
Neotoma_lepida,Neotoma lepida,ASM167557v1,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Neotoma
Okapia_johnstoni,Okapia johnstoni,ASM166083v1,Mammalia,Laurasiatheria,Unclassified,Giraffidae,Okapia
Mola_mola,Mola mola,ASM169857v1,Actinopteri,Unclassified,Tetraodontiformes,Molidae,Mola
Sinocyclocheilus_anshuiensis,Sinocyclocheilus anshuiensis,SAMN03320099,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Sinocyclocheilus
Malaclemys_terrapin_terrapin,Malaclemys terrapin terrapin,terp_v2_2,Unclassified,Unclassified,Testudines,Emydidae,Malaclemys
Rhinopithecus_bieti,Rhinopithecus bieti,ASM169854v1,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Rhinopithecus
Ailuropoda_melanoleuca,Ailuropoda melanoleuca,ensembl_79_ailMel1,Mammalia,Laurasiatheria,Carnivora,Ursidae,Ailuropoda
Amazona_vittata,Amazona vittata,AV1,Aves,Neognathae,Psittaciformes,Psittacidae,Amazona
Anas_platyrhynchos,Anas platyrhynchos,bgi_2011-10-28,Aves,Neognathae,Anseriformes,Anatidae,Anas
Aquila_chrysaetos_canadensis,Aquila chrysaetos canadensis,ncbi_100,Aves,Neognathae,Falconiformes,Accipitridae,Aquila
Balaenoptera_bonaerensis,Balaenoptera bonaerensis,ASM97880v1,Mammalia,Laurasiatheria,Cetacea,Balaenopteridae,Balaenoptera
Bos_taurus,Bos taurus,ensembl_79_UMD3.1,Mammalia,Laurasiatheria,Unclassified,Bovidae,Bos
Callithrix_jacchus,Callithrix jacchus,ensembl_79_C_jacchus3.2.1,Mammalia,Euarchontoglires,Primates,Cebidae,Callithrix
Canis_familiaris,Canis familiaris,ensembl_79_CanFam3.1,Mammalia,Laurasiatheria,Carnivora,Canidae,Canis
Cavia_aperea,Cavia aperea,CavAp1.0,Mammalia,Euarchontoglires,Rodentia,Caviidae,Cavia
Cavia_porcellus,Cavia porcellus,ensembl_79_cavPor3,Mammalia,Euarchontoglires,Rodentia,Caviidae,Cavia
Chlamydotis_macqueenii,Chlamydotis macqueenii,ASM69519v1,Aves,Neognathae,Gruiformes,Otididae,Chlamydotis
Choloepus_hoffmanni,Choloepus hoffmanni,ensembl_79_choHof1,Mammalia,Xenarthra,Pilosa,Megalonychidae,Choloepus
Colinus_virginianus,Colinus virginianus,NB1.1,Aves,Neognathae,Galliformes,Odontophoridae,Colinus
Cricetulus_griseus,Cricetulus griseus,CHO-K1-v1,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Cricetulus
Dasypus_novemcinctus,Dasypus novemcinctus,ensembl_79_Dasnov3.0,Mammalia,Xenarthra,Cingulata,Dasypodidae,Dasypus
Echinops_telfairi,Echinops telfairi,ensembl_79_TENREC,Mammalia,Afrotheria,Unclassified,Tenrecidae,Echinops
Equus_caballus,Equus caballus,ensembl_79_EquCab2,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_ferus_przewalskii,Equus ferus przewalskii,ncbi_9798_15Dec2014,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_ferus_thistlecreek,Equus ferus thistlecreek,Henan_EquCab2_Jun30,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Erinaceus_europaeus,Erinaceus europaeus,ensembl_79_HEDGEHOG,Mammalia,Laurasiatheria,Insectivora,Erinaceidae,Erinaceus
Falco_cherrug,Falco cherrug,F_cherrug_v1.0,Aves,Neognathae,Falconiformes,Falconidae,Falco
Felis_catus,Felis catus,ensembl_79_Felis_catus_6.2,Mammalia,Laurasiatheria,Carnivora,Felidae,Felis
Gallus_gallus,Gallus gallus,ensembl_Galgal4,Aves,Neognathae,Galliformes,Phasianidae,Gallus
Gorilla_gorilla,Gorilla gorilla,ensembl_79_gorGor3.1,Mammalia,Euarchontoglires,Primates,Hominidae,Gorilla
Homo_sapiens,Homo sapiens,ensembl_79_GRCh38,Mammalia,Euarchontoglires,Primates,Hominidae,Homo
Homo_sapiens,Homo sapiens,goldenpath_hg19_2009,Mammalia,Euarchontoglires,Primates,Hominidae,Homo
Lemur_catta,Lemur catta,26/06/2015,Mammalia,Euarchontoglires,Primates,Lemuridae,Lemur
Lepidothrix_coronata,Lepidothrix coronata,1,Aves,Neognathae,Passeriformes,Pipridae,Lepidothrix
Loxodonta_africana,Loxodonta africana,ensembl_79_loxAfr3,Mammalia,Afrotheria,Proboscidea,Elephantidae,Loxodonta
Macaca_mulatta,Macaca mulatta,ensembl_79_MMUL_1,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Macaca
Macropus_eugenii,Macropus eugenii,ensembl_79_Meug_1.0,Mammalia,Unclassified,Diprotodontia,Macropodidae,Macropus
Microcebus_murinus,Microcebus murinus,ensembl_79_micMur1,Mammalia,Euarchontoglires,Primates,Cheirogaleidae,Microcebus
Monodelphis_domestica,Monodelphis domestica,ensembl_79_BROADO5,Mammalia,Unclassified,Didelphimorphia,Didelphidae,Monodelphis
Mus_musculus,Mus musculus,ensembl_79_GRCm38,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,129S1_SvImJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,A_J,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,BALB_cJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,C3H_HeJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,CBA_J,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,DBA_2J,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,FVB_NJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,LP_J,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,NOD_ShiLtJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_musculus,Mus musculus,NZO_HlLtJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mustela_putorius_furo,Mustela putorius furo,ensembl_79_MusPutFur1.0,Mammalia,Laurasiatheria,Carnivora,Mustelidae,Mustela
Myotis_lucifugus,Myotis lucifugus,ensembl_79_Myoluc2.0,Mammalia,Laurasiatheria,Chiroptera,Vespertilionidae,Myotis
Ochotona_princeps,Ochotona princeps,ensembl_79_pika,Mammalia,Euarchontoglires,Lagomorpha,Ochotonidae,Ochotona
Ornithorhynchus_anatinus,Ornithorhynchus anatinus,ensembl_79_OANA5,Mammalia,Unclassified,Monotremata,Ornithorhynchidae,Ornithorhynchus
Oryctolagus_cuniculus,Oryctolagus cuniculus,ensembl_79_OryCun2.0,Mammalia,Euarchontoglires,Lagomorpha,Leporidae,Oryctolagus
Otolemur_garnettii,Otolemur garnettii,ensembl_79_OtoGar3,Mammalia,Euarchontoglires,Primates,Galagidae,Otolemur
Ovis_aries,Ovis aries,ensembl_79_Oar_v3.1,Mammalia,Laurasiatheria,Unclassified,Bovidae,Ovis
Pan_troglodytes,Pan troglodytes,ensembl_79_CHIMP2.1.4,Mammalia,Euarchontoglires,Primates,Hominidae,Pan
Papio_anubis,Papio anubis,ensembl_79_PapAnu2.0,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Papio
Parus_major,Parus major,1.0.3,Aves,Neognathae,Passeriformes,Paridae,Parus
Phodopus_sungorus,Phodopus sungorus,Psun0.5,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Phodopus
Phylloscopus_plumbeitarsus,Phylloscopus plumbeitarsus,GWplu1.0,Aves,Neognathae,Passeriformes,Phylloscopidae,Phylloscopus
Phylloscopus_trochiloides_viridanus,Phylloscopus trochiloides viridanus,GWvir1.0,Aves,Neognathae,Passeriformes,Phylloscopidae,Phylloscopus
Pongo_abelii,Pongo abelii,ensembl_79_PPYG2,Mammalia,Euarchontoglires,Primates,Hominidae,Pongo
Procavia_capensis,Procavia capensis,ensembl_79_proCap1,Mammalia,Afrotheria,Hyracoidea,Procaviidae,Procavia
Pteropus_vampyrus,Pteropus vampyrus,ensembl_79_pteVam1,Mammalia,Laurasiatheria,Chiroptera,Pteropodidae,Pteropus
Rattus_norvegicus,Rattus norvegicus,ensembl_79_Rnor_5.0,Mammalia,Euarchontoglires,Rodentia,Muridae,Rattus
Sarcophilus_harrisii,Sarcophilus harrisii,ensembl_79_DEVIL7.0,Mammalia,Unclassified,Dasyuromorphia,Dasyuridae,Sarcophilus
Sorex_araneus,Sorex araneus,ensembl_79_COMMON_SHREW1,Mammalia,Laurasiatheria,Insectivora,Soricidae,Sorex
Sturnus_vulgaris,Sturnus vulgaris,GCA_001447265.1,Aves,Neognathae,Passeriformes,Sturnidae,Sturnus
Sus_scrofa,Sus scrofa,ensembl_79_Sscrofa10.2,Mammalia,Laurasiatheria,Unclassified,Suidae,Sus
Tarsius_syrichta,Tarsius syrichta,ensembl_tarSyr1,Mammalia,Euarchontoglires,Primates,Tarsiidae,Tarsius
Tupaia_belangeri,Tupaia belangeri,ensembl_79_TREESHREW,Mammalia,Euarchontoglires,Scandentia,Tupaiidae,Tupaia
Tursiops_truncatus,Tursiops truncatus,ensembl_79_turTru1,Mammalia,Laurasiatheria,Cetacea,Delphinidae,Tursiops
Vicugna_pacos,Vicugna pacos,ensembl_79_vicPac1,Mammalia,Laurasiatheria,Unclassified,Camelidae,Vicugna
Bos_indicus,Bos indicus,Bos_indicus_1.0,Mammalia,Laurasiatheria,Unclassified,Bovidae,Bos
Microtus_agrestis,Microtus agrestis,ASM130599v1,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Microtus
Gulo_gulo,Gulo gulo,Gulo_2.2,Mammalia,Laurasiatheria,Carnivora,Mustelidae,Gulo
Guentherus_altivela,Guentherus altivela,ASM90031259v1,Actinopteri,Ateleopodia,Ateleopodiformes,Ateleopodidae,Guentherus
Grus_japonensis,Grus japonensis,ver1.0,Aves,Neognathae,Gruiformes,Gruidae,Grus
Graphiurus_murinus,Graphiurus murinus,GraMur_v1_BIUU,Mammalia,Euarchontoglires,Rodentia,Gliridae,Graphiurus
Grammomys_surdaster,Grammomys surdaster,NIH_TR_1.0,Mammalia,Euarchontoglires,Rodentia,Muridae,Grammomys
Gopherus_evgoodei,Gopherus evgoodei,GopEvg1_v1,Unclassified,Unclassified,Testudines,Testudinidae,Gopherus
Gopherus_agassizii,Gopherus agassizii,ASM289641v1,Unclassified,Unclassified,Testudines,Testudinidae,Gopherus
Globicephala_melas,Globicephala melas,ASM654740v1,Mammalia,Laurasiatheria,Cetacea,Delphinidae,Globicephala
Glis_glis,Glis glis,GliGli_v1,Mammalia,Euarchontoglires,Rodentia,Gliridae,Glis
Gambusia_affinis,Gambusia affinis,ASM309773v1,Actinopteri,Atherinomorphae,Cyprinodontiformes,Poeciliidae,Gambusia
Gallirallus_okinawae,Gallirallus okinawae,Gallirallus_okinawae_ver1.0,Aves,Neognathae,Gruiformes,Rallidae,Gallirallus
Gadus_chalcogrammus,Gadus chalcogrammus,ASM90030257v1,Actinopteri,Unclassified,Gadiformes,Gadidae,Gadus
Gadiculus_argenteus,Gadiculus argenteus,ASM90030259v1,Actinopteri,Unclassified,Gadiformes,Gadidae,Gadiculus
Felis_nigripes,Felis nigripes,FelNig_v1_BIUU,Mammalia,Laurasiatheria,Carnivora,Felidae,Felis
Eumetopias_jubatus,Eumetopias jubatus,ASM402803v1,Mammalia,Laurasiatheria,Carnivora,Otariidae,Eumetopias
Eulemur_fulvus,Eulemur fulvus,EulFul_v1,Mammalia,Euarchontoglires,Primates,Lemuridae,Eulemur
Eschrichtius_robustus,Eschrichtius robustus,ASM218922v1,Mammalia,Laurasiatheria,Cetacea,Eschrichtiidae,Eschrichtius
Erythrura_gouldiae,Erythrura gouldiae,GouldianFinchv1,Aves,Neognathae,Passeriformes,Estrildidae,Erythrura
Erythrocebus_patas,Erythrocebus patas,EryPat_v1,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Erythrocebus
Erpetoichthys_calabaricus,Erpetoichthys calabaricus,fErpCal1.1,Cladistia,Unclassified,Polypteriformes,Polypteridae,Erpetoichthys
Equus_zebra_hartmannae,Equus zebra hartmannae,Henan_16MAR2017,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_kiang,Equus kiang,Henan_21MAR2017,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_hemionus,Equus hemionus,Henan_21MAR2017,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_grevyi,Equus grevyi,Henan_16MAR2017,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_burchellii_quagga,Equus burchellii quagga,Henan_16MAR2017,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_burchellii_boehmi,Equus burchellii boehmi,Henan_16MAR2017,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_asinus_somalicus,Equus asinus somalicus,Henan_21MAR2017,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Eptatretus_burgeri,Eptatretus burgeri,Eburgeri_3.2,Unclassified,Unclassified,Myxiniformes,Myxinidae,Eptatretus
Epinephelus_moara,Epinephelus moara,YSFRI_EMoa_1.0,Actinopteri,Unclassified,Perciformes,Serranidae,Epinephelus
Epinephelus_lanceolatus,Epinephelus lanceolatus,ASM528154v1,Actinopteri,Unclassified,Perciformes,Serranidae,Epinephelus
Eopsaltria_australis,Eopsaltria australis,eyr_v1,Aves,Neognathae,Passeriformes,Petroicidae,Eopsaltria
Eonycteris_spelaea,Eonycteris spelaea,Espe.v1,Mammalia,Laurasiatheria,Chiroptera,Pteropodidae,Eonycteris
Enhydra_lutris,Enhydra lutris,ASM228890v2,Mammalia,Laurasiatheria,Carnivora,Mustelidae,Enhydra
Emydura_subglobosa,Emydura subglobosa,1,Unclassified,Unclassified,Testudines,Chelidae,Emydura
Emydocephalus_ijimae,Emydocephalus ijimae,1,Unclassified,Lepidosauria,Squamata,Hydrophiidae,Emydocephalus
Empidonax_traillii,Empidonax traillii,GCA_003031625,Aves,Neognathae,Passeriformes,Tyrannidae,Empidonax
Dromaius_novaehollandiae,Dromaius novaehollandiae,GCA_003342905.1_droNov1,Aves,Palaeognathae,Casuariiformes,Dromaiidae,Dromaius
Dolichotis_patagonum,Dolichotis patagonum,DolPat_v1,Mammalia,Euarchontoglires,Rodentia,Caviidae,Dolichotis
Dipodomys_stephensi,Dipodomys stephensi,DipSte_v1_BIUU,Mammalia,Euarchontoglires,Rodentia,Heteromyidae,Dipodomys
Diphyllodes_magnificus,Diphyllodes magnificus,GCA_003713285.1,Aves,Neognathae,Passeriformes,Paradisaeidae,Diphyllodes
Dinomys_branickii,Dinomys branickii,DinBra_v1,Mammalia,Euarchontoglires,Rodentia,Dinomyidae,Dinomys
Diceros_bicornis,Diceros bicornis,DicBicMic_v1_BIUU,Mammalia,Laurasiatheria,Perissodactyla,Rhinocerotidae,Diceros
Dicerorhinus_sumatrensis_sumatrensis,Dicerorhinus sumatrensis sumatrensis,ASM284483v1,Mammalia,Laurasiatheria,Perissodactyla,Rhinocerotidae,Dicerorhinus
Desmodus_rotundus,Desmodus rotundus,GCA_002940915,Mammalia,Laurasiatheria,Chiroptera,Phyllostomidae,Desmodus
Dermatemys_mawii,Dermatemys mawii,1,Unclassified,Unclassified,Testudines,Dermatemydidae,Dermatemys
Dermochelys_coriacea,Dermochelys coriacea,GSC_toitle_1.0,Unclassified,Unclassified,Testudines,Dermochelyidae,Dermochelys
Denticeps_clupeoides,Denticeps clupeoides,fDenClu1.1,Actinopteri,Unclassified,Clupeiformes,Denticipitidae,Denticeps
Delphinapterus_leucas,Delphinapterus leucas,ASM228892v2,Mammalia,Laurasiatheria,Cetacea,Monodontidae,Delphinapterus
Daubentonia_madagascariensis,Daubentonia madagascariensis,DauMad_v1_BIUU,Mammalia,Euarchontoglires,Primates,Daubentoniidae,Daubentonia
Danionella_dracula,Danionella dracula,fDanDra1.1,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Danionella
Damaliscus_lunatus,Damaliscus lunatus,CTB,Mammalia,Laurasiatheria,Unclassified,Bovidae,Damaliscus
Cuora_mccordi,Cuora mccordi,ASM384633v1,Unclassified,Unclassified,Testudines,Geoemydidae,Cuora
Cuora_amboinensis,Cuora amboinensis,Cuora_amboinensis-1.0,Unclassified,Unclassified,Testudines,Geoemydidae,Cuora
Ctenomys_sociabilis,Ctenomys sociabilis,CteSoc_v1,Mammalia,Euarchontoglires,Rodentia,Ctenomyidae,Ctenomys
Cryptoprocta_ferox,Cryptoprocta ferox,CryFer_v1_BIUU,Mammalia,Laurasiatheria,Carnivora,Eupleridae,Cryptoprocta
Crotalus_viridis,Crotalus viridis,CroVir2.0,Unclassified,Lepidosauria,Squamata,Viperidae,Crotalus
Crocidura_indochinensis,Crocidura indochinensis,CroInd_v1_BIUU,Mammalia,Laurasiatheria,Insectivora,Soricidae,Crocidura
Cricetomys_gambianus,Cricetomys gambianus,CriGam_v1,Mammalia,Euarchontoglires,Rodentia,Nesomyidae,Cricetomys
Craseonycteris_thonglongyai,Craseonycteris thonglongyai,CraTho_v1_BIUU,Mammalia,Laurasiatheria,Chiroptera,Craseonycteridae,Craseonycteris
Coryphaenoides_rupestris,Coryphaenoides rupestris,ASM289596v1,Actinopteri,Unclassified,Gadiformes,Macrouridae,Coryphaenoides
Corvus_hawaiiensis,Corvus hawaiiensis,GCA_003402825.1_Coha_1.0,Aves,Neognathae,Passeriformes,Corvidae,Corvus
Corapipo_altera,Corapipo altera,ASM394572v1,Aves,Neognathae,Passeriformes,Pipridae,Corapipo
Connochaetes_taurinus,Connochaetes taurinus,BWD,Mammalia,Laurasiatheria,Unclassified,Bovidae,Connochaetes
Collichthys_lucidus,Collichthys lucidus,ASM411991v1,Actinopteri,Unclassified,Unclassified,Sciaenidae,Collichthys
Clarias_batrachus,Clarias batrachus,ASM398787v1,Actinopteri,Characiphysae,Siluriformes,Clariidae,Clarias
Ciconia_boyciana,Ciconia boyciana,ver1.0,Aves,Neognathae,Ciconiiformes,Ciconiidae,Ciconia
Cirrhinus_molitorella,Cirrhinus molitorella,ASM402844v1,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Cirrhinus
Cicinnurus_regius,Cicinnurus regius,GCA_003713305.1,Aves,Neognathae,Passeriformes,Paradisaeidae,Cicinnurus
Chrysolophus_pictus,Chrysolophus pictus,Chrysolophus_pictus_GenomeV1.0,Aves,Neognathae,Galliformes,Phasianidae,Chrysolophus
Chromis_chromis,Chromis chromis,ASM90030275v1,Actinopteri,Unclassified,Unclassified,Pomacentridae,Chromis
Choloepus_didactylus,Choloepus didactylus,ChoDid_v1_BIUU,Mammalia,Xenarthra,Pilosa,Megalonychidae,Choloepus
Chiloscyllium_punctatum,Chiloscyllium punctatum,Cpunctatum_v1.0,Chondrichthyes,Galeoidea,Orectolobiformes,Hemiscylliidae,Chiloscyllium
Chiloscyllium_plagiosum,Chiloscyllium plagiosum,ASM401019v1,Chondrichthyes,Galeoidea,Orectolobiformes,Hemiscylliidae,Chiloscyllium
Chelydra_serpentina,Chelydra serpentina,1,Unclassified,Unclassified,Testudines,Chelydridae,Chelydra
Chelonoidis_abingdonii,Chelonoidis abingdonii,ASM359739v1,Unclassified,Unclassified,Testudines,Testudinidae,Chelonoidis
Chatrabus_melanurus,Chatrabus melanurus,ASM90030263v1,Actinopteri,Unclassified,Batrachoidiformes,Batrachoididae,Chatrabus
