sequenceID	locus_name	locus_numeric_id	stem	host_species	host_class	host_superorder	host_order	host_family	host_genus	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	sequence_length	virus_genus	locus_structure
dependo.15-Colobus_angolensis_palliatus	dependo.15-colobus	15	dependo.15	Colobus_angolensis_palliatus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Colobus	Colobus_angolensis_palliatus	low_coverage	ncbi_100_2015	336983_ref_Cang.pa_1.0_chrUn.fa	gi|786079843|ref|NW_012115044.1|	-	2545921	2546379	Rep	1	149	10	456	149	310	100	2.04	112	0	0	459	Dependoparvovirus	NS[dependo.15-colobus(-)]
dependo.16-Canis_lupus_dingo	dependo.16-canid	16	dependo.16	Canis_lupus_dingo	Mammalia	Laurasiatheria	Carnivora	Canidae	Canis	Canis_lupus_dingo	low_coverage	ASM325472v1	GCA_003254725.1_ASM325472v1_genomic.fna	QKWQ01002355.1	+	21722204	21722566	VP	1	121	1	363	121	249	99.174	2.3	89	0	0	363	Dependoparvovirus	VP[dependo.16-canid(+)]
dependo.16-Lycaon_pictus	dependo.16-canid	16	dependo.16	Lycaon_pictus	Mammalia	Laurasiatheria	Carnivora	Canidae	Lycaon	Lycaon_pictus	low_coverage	LycPicSAfr1.0	GCA_001887905.1_LycPicSAfr1.0_genomic.fna	CM007562.1	-	9266116	9266478	VP	1	121	1	363	121	242	96.694	1.99	86	0	0	363	Dependoparvovirus	VP[dependo.16-canid(-)]
dependo.16-Canis_familiaris	dependo.16-canid	16	dependo.16	Canis_familiaris	Mammalia	Laurasiatheria	Carnivora	Canidae	Canis	Canis_familiaris	low_coverage	goldenpath_canFam3	canFam3.fa	chr37	-	9272279	9272599	VP	1	107	1	321	107	223	100	2.03	79	0	0	321	Dependoparvovirus	VP[dependo.16-canid(-)]
dependo.16-Vulpes_lagopus	dependo.16-canid	16	dependo.16	Vulpes_lagopus	Mammalia	Laurasiatheria	Carnivora	Canidae	Vulpes	Vulpes_lagopus	low_coverage	VulLag_v1_BIUU	GCA_004023825.1_VulLag_v1_BIUU_genomic.fna	PISU010002574.1	-	129142	129372	VP	1	77	1	231	77	150	94.805	6.18	51	0	0	231	Dependoparvovirus	VP[dependo.16-canid(-)]
dependo.16-Vulpes_vulpes	dependo.16-canid	16	dependo.16	Vulpes_vulpes	Mammalia	Laurasiatheria	Carnivora	Canidae	Vulpes	Vulpes_vulpes	low_coverage	VulVul2.2	GCA_003160815.1_VulVul2.2_genomic.fna	NBDQ01000042.1	-	5766666	5766896	VP	1	77	1	231	77	148	93.506	4.45	50	0	0	231	Dependoparvovirus	VP[dependo.16-canid(-)]
dependo.23-Vicugna_pacos	dependo.23-camelidae	23	dependo.23	Vicugna_pacos	Mammalia	Laurasiatheria	Unclassified	Camelidae	Vicugna	Vicugna_pacos	low_coverage	goldenpath_vicPac2	vicPac2.fa	KB632691	-	1513590	1514059	VP	1	98	174	467	98	189	92.857	2.27	65	0	0	470	Dependoparvovirus	VP[dependo.23-camelidae(-)]
dependo.23-Lama_glama	dependo.23-camelidae	23	dependo.23	Lama_glama	Mammalia	Laurasiatheria	Unclassified	Camelidae	Lama	Lama_glama	low_coverage	ASM1323958v1	GCA_013239585.1_ASM1323958v1_genomic.fna	MU052497.1	+	154312	154790	VP	1	98	174	467	98	189	92.857	1.98	65	0	0	479	Dependoparvovirus	VP[dependo.23-camelidae(+)]
dependo.23-Camelus_ferus	dependo.23-camelidae	23	dependo.23	Camelus_ferus	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus	Camelus_ferus	low_coverage	bacsac_1.0_april_2013	Camelus_f.unplaced.scaf.fa_14.fa	gi|429342667|gb|KB017125.1|	-	3396525	3396958	VP	1	73	210	428	73	152	97.26	7.24	51	0	0	434	Dependoparvovirus	VP[dependo.23-camelidae(-)]
dependo.23-Camelus_dromedarius	dependo.23-camelidae	23	dependo.23	Camelus_dromedarius	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus	Camelus_dromedarius	low_coverage	ncbi_GCF_000767585_2015-05-14	9838_ref_PRJNA234474_Ca_dromedarius_V1.0_chrUn.fa	gi|742338961|ref|NW_011591754.1|	-	31379	31899	VP	1	73	297	515	73	152	97.26	2.12	50	0	0	521	Dependoparvovirus	VP[dependo.23-camelidae(-)]
dependo.23-Camelus_bactrianus	dependo.23-camelidae	23	dependo.23	Camelus_bactrianus	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus	Camelus_bactrianus	low_coverage	MBC_1.0	9837_ref_Ca_bactrianus_MBC_1.0_chrUn.fa	gi|741191286|ref|NW_011513264.1|	-	554173	554699	VP	1	73	303	521	73	150	95.89	2.09	49	0	0	527	Dependoparvovirus	VP[dependo.23-camelidae(-)]
dependo.26-Prolemur_simus	dependo.26-strepsirrhini	26	dependo.26	Prolemur_simus	Mammalia	Euarchontoglires	Primates	Lemuridae	Prolemur	Prolemur_simus	low_coverage	Prosim_1.0	GCA_003258685.1_Prosim_1.0_genomic.fna	MPIZ01000190.1	+	715416	716234	VP	1	266	22	819	266	536	98.12	0	1	0	0	819	Dependoparvovirus	VP[dependo.26-strepsirrhini(+)]
dependo.26-Eulemur_flavifrons	dependo.26-strepsirrhini	26	dependo.26	Eulemur_flavifrons	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_flavifrons	low_coverage	Eflavifronsk33QCA	GCA_001262665.1_Eflavifronsk33QCA_genomic.fna	LGHW01006933.1	+	8477	9292	VP	1	266	22	816	266	518	95.865	0	1	1	0	816	Dependoparvovirus	VP[dependo.26-strepsirrhini(+)]
dependo.26-Eulemur_macaco	dependo.26-strepsirrhini	26	dependo.26	Eulemur_macaco	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_macaco	low_coverage	Emacaco_refEf	GCA_001262655.1_Emacaco_refEf_BWA_oneround_genomic.fa	LGHX01006817.1	+	8279	9028	VP	16	266	1	750	251	490	96.016	4.38	180	1	0	750	Dependoparvovirus	VP[dependo.26-strepsirrhini(+)]
dependo.26-Eulemur_fulvus	dependo.26-strepsirrhini	26	dependo.26	Eulemur_fulvus	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_fulvus	low_coverage	EulFul_v1	GCA_004027275.1_EulFul_v1_BIUU_genomic.fna	PVJU010024054.1	+	12697	13446	VP	16	266	1	750	251	476	94.422	1.64	174	1	0	750	Dependoparvovirus	VP[dependo.26-strepsirrhini(+)]
dependo.26-Propithecus_coquereli	dependo.26-strepsirrhini	26	dependo.26	Propithecus_coquereli	Mammalia	Euarchontoglires	Primates	Indriidae	Propithecus	Propithecus_coquereli	low_coverage	Pcoq_1.0	379532_ref_Pcoq_1.0_chrUn.fa	gi|808385307|ref|NW_012145313.1|	-	18594	19076	VP	106	266	1	483	161	296	91.304	4.02	105	0	0	483	Dependoparvovirus	VP[dependo.26-strepsirrhini(-)]
dependo.26-Indri_indri	dependo.26-strepsirrhini	26	dependo.26	Indri_indri	Mammalia	Euarchontoglires	Primates	Indriidae	Indri	Indri_indri	low_coverage	IndInd_v1_BIUU	GCA_004363605.1_IndInd_v1_BIUU_genomic.fna	RJWJ010082063.1	-	1014	1493	VP	106	265	1	480	160	296	91.875	4.65	105	0	0	480	Dependoparvovirus	VP[dependo.26-strepsirrhini(-)]
dependo.26-Propithecus_coquereli	dependo.26-strepsirrhini	26	dependo.26	Propithecus_coquereli	Mammalia	Euarchontoglires	Primates	Indriidae	Propithecus	Propithecus_coquereli	low_coverage	Pcoq_1.0	379532_ref_Pcoq_1.0_chrUn.fa	gi|808384653|ref|NW_012145967.1|	-	4720837	4721319	VP	106	265	1	480	160	295	91.25	1.63	104	0	0	483	Dependoparvovirus	VP[dependo.26-strepsirrhini(-)]
dependo.26-Daubentonia_madagascariensis	dependo.26-strepsirrhini	26	dependo.26	Daubentonia_madagascariensis	Mammalia	Euarchontoglires	Primates	Daubentoniidae	Daubentonia	Daubentonia_madagascariensis	low_coverage	DauMad_v1_BIUU	GCA_004027145.1_DauMad_v1_BIUU_genomic.fna	PVJZ01000851.1	+	63400	63858	VP	114	266	1	459	153	250	84.314	3.55	87	0	0	459	Dependoparvovirus	VP[dependo.26-strepsirrhini(+)]
dependo.26-Indri_indri	dependo.26-strepsirrhini	26	dependo.26	Indri_indri	Mammalia	Euarchontoglires	Primates	Indriidae	Indri	Indri_indri	low_coverage	IndInd_v1_BIUU	GCA_004363605.1_IndInd_v1_BIUU_genomic.fna	RJWJ010089137.1	+	2800	3212	VP	158	265	90	413	108	178	85.185	4.22	59	0	0	413	Dependoparvovirus	VP[dependo.26-strepsirrhini(+)]
dependo.27-Eulemur_macaco	dependo.27-eulemur	27	dependo.27	Eulemur_macaco	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_macaco	low_coverage	Emacaco_refEf	GCA_001262655.1_Emacaco_refEf_BWA_oneround_genomic.fa	LGHX01005234.1	-	139401	141329	Rep	1	643	1	1929	643	1210	100	0	1	0	0	1929	Dependoparvovirus	NS[dependo.27-eulemur(-)]
dependo.27-Eulemur_flavifrons	dependo.27-eulemur	27	dependo.27	Eulemur_flavifrons	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_flavifrons	low_coverage	Eflavifronsk33QCA	GCA_001262665.1_Eflavifronsk33QCA_genomic.fna	LGHW01005313.1	-	140526	142454	Rep	1	643	1	1929	643	1195	99.222	0	1	0	0	1929	Dependoparvovirus	NS[dependo.27-eulemur(-)]
dependo.27-Eulemur_fulvus	dependo.27-eulemur	27	dependo.27	Eulemur_fulvus	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur	Eulemur_fulvus	low_coverage	EulFul_v1	GCA_004027275.1_EulFul_v1_BIUU_genomic.fna	PVJU010013730.1	+	9126	10980	Rep	58	524	162	1571	470	807	86.17	0	1	1	0	1855	Dependoparvovirus	NS[dependo.27-eulemur(+)]
dependo.28-Daubentonia_madagascariensis	dependo.28-daubentonia	28	dependo.28	Daubentonia_madagascariensis	Mammalia	Euarchontoglires	Primates	Daubentoniidae	Daubentonia	Daubentonia_madagascariensis	low_coverage	DauMad_v1_BIUU	GCA_004027145.1_DauMad_v1_BIUU_genomic.fna	PVJZ01000109.1	-	755660	759731	translated-genome	762	1351	2300	4072	591	1047	95.431	0	1	1	0	4072	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-NS[dependo.28-daubentonia(-)]
dependo.36-Macrotus_californicus	dependo.36-phyllostomidae	36	dependo.36	Macrotus_californicus	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Macrotus	Macrotus_californicus	low_coverage	MacCal_v1_BIUU	GCA_007922815.1_MacCal_v1_BIUU_genomic.fna	VMDR010006300.1	+	25943	29231	translated-genome	472	1287	818	3289	851	910	62.397	0	1	16	0	3289	Dependoparvovirus	NS[dependo.39-phyllostomidae(+)]-VP[dependo.1-whippomorpha(+)]
dependo.36-Tonatia_saurophila	dependo.36-phyllostomidae	36	dependo.36	Tonatia_saurophila	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Tonatia	Tonatia_saurophila	low_coverage	TonSau_v1_BIUU	GCA_004024845.1_TonSau_v1_BIUU_genomic.fna	PVIA01007828.1	+	30275	34119	translated-genome	218	981	639	2924	793	735	59.142	0	1	18	0	3845	Dependoparvovirus	NS[dependo.39-phyllostomidae(+)]-VP[dependo.XX-tonatia(+)]
dependo.36-Carollia_perspicillata	dependo.36-phyllostomidae	36	dependo.36	Carollia_perspicillata	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Carollia	Carollia_perspicillata	low_coverage	CarPer_v1_BIUU	GCA_004027735.1_CarPer_v1_BIUU_genomic.fna	PVKM010009701.1	-	28621	31704	translated-genome	818	1202	1674	2828	392	527	69.898	0	1	7	0	3084	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-NS[dependo.39-phyllostomidae(-)]
dependo.36-Micronycteris_hirsuta	dependo.36-phyllostomidae	36	dependo.36	Micronycteris_hirsuta	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Micronycteris	Micronycteris_hirsuta	low_coverage	MicHir_v1	GCA_004026765.1_MicHir_v1_BIUU_genomic.fna	PVJI01002842.1	-	74891	78655	translated-genome	574	964	1481	2638	395	446	68.354	0	1	7	0	3765	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-VP[dependo.XX-Micronycteris(-)]-NS[dependo.86-chiroptera(-)]
dependo.36-Phyllostomus_discolor	dependo.36-phyllostomidae	36	dependo.36	Phyllostomus_discolor	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Phyllostomus	Phyllostomus_discolor	low_coverage	mPhyDis1_v1	GCA_004115245.1_mPhyDis1_v1.h_genomic.fna	RXPB01010460.1	+	291017	294964	translated-genome	210	456	631	1440	278	340	66.187	0	1	5	0	3948	Dependoparvovirus	NS[dependo.86-chiroptera(+)]-VP[dependo.XX-tonatia(+)]-VP[dependo.XX-tonatia(+)]
dependo.36-Anoura_caudifer	dependo.36-phyllostomidae	36	dependo.36	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura	Anoura_caudifer	low_coverage	AnoCau_v1_BIUU	GCA_004027475.1_AnoCau_v1_BIUU_genomic.fna	PVKU01007968.1	-	71190	74489	translated-genome	634	818	1509	2063	185	325	92.432	0	1	0	0	3300	Dependoparvovirus	VP[dependo.XX-tonatia(-)]-NS[dependo.32-chiroptera(-)]
dependo.36-Pteronotus_parnellii	dependo.36-phyllostomidae	36	dependo.36	Pteronotus_parnellii	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Pteronotus	Pteronotus_parnellii	low_coverage	ncbi_AWGZ00000000.1_2015-05	AWGZ01.2.fsa_nt.fa	gi|539829657|gb|AWGZ01236380.1|	+	1218	3113	translated-genome	1006	1181	1042	1584	184	230	69.565	0	1	5	0	1896	Dependoparvovirus	VP[dependo.XX-Micronycteris(+)]-VP[dependo.XX-Pteronotus(+)]
dependo.37-Rhinolophus_sinicus	dependo.37-rhinolophus	37	dependo.37	Rhinolophus_sinicus	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_sinicus	low_coverage	ASM188883v1	GCF_001888835.1_ASM188883v1_genomic.fna	NW_017739794.1	-	114865	118706	translated-genome	720	1060	2546	3574	343	716	98.834	0	1	1	0	3842	Dependoparvovirus	VP[dependo.35-vespertilionidae(-)]-NS[dependo.35-vespertilionidae(-)]
dependo.37-Rhinolophus_ferrumequinum	dependo.37-rhinolophus	37	dependo.37	Rhinolophus_ferrumequinum	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_ferrumequinum	low_coverage	ncbi_AWHA00000000.1_2015-05	AWHA01.3.fsa_nt.fa	gi|539420557|gb|AWHA01190250.1|	+	1712	3874	translated-genome	2	360	103	1284	399	437	62.907	7.83	166	8	0	2163	Dependoparvovirus	NS[dependo.35-vespertilionidae(+)]
dependo.37-Rhinolophus_ferrumequinum	dependo.37-rhinolophus	37	dependo.37	Rhinolophus_ferrumequinum	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_ferrumequinum	low_coverage	ncbi_AWHA00000000.1_2015-05	AWHA01.3.fsa_nt.fa	gi|539420556|gb|AWHA01190251.1|	+	199	1378	translated-genome	644	796	37	504	156	261	83.974	5.29	126	3	0	1180	Dependoparvovirus	VP[dependo.35-vespertilionidae(+)]
dependo.40-Phyllostomus_discolor	dependo.40-phyllostomidae	40	dependo.40	Phyllostomus_discolor	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Phyllostomus	Phyllostomus_discolor	low_coverage	mPhyDis1_v1	GCA_004115245.1_mPhyDis1_v1.h_genomic.fna	RXPB01009965.1	-	47532	50801	translation	1	1090	1	3270	1090	2132	100	0	1	0	0	3270	Dependoparvovirus	VP[dependo.XX-desmodus(-)]-NS[dependo.86-chiroptera(-)]
dependo.40-Pteronotus_parnellii	dependo.40-phyllostomidae	40	dependo.40	Pteronotus_parnellii	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Pteronotus	Pteronotus_parnellii	low_coverage	ncbi_AWGZ00000000.1_2015-05	AWGZ01.2.fsa_nt.fa	gi|539840960|gb|AWGZ01225077.1|	-	1280	5313	translated-genome	723	1130	2188	3411	408	825	100	0	1	0	0	4034	Dependoparvovirus	VP[dependo.31-chiroptera(-)]-VP[dependo.4-rhinocerotidae(-)]-NS[dependo.28-daubentonia(-)]
dependo.40-Anoura_caudifer	dependo.40-phyllostomidae	40	dependo.40	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura	Anoura_caudifer	low_coverage	AnoCau_v1_BIUU	GCA_004027475.1_AnoCau_v1_BIUU_genomic.fna	PVKU01001227.1	-	312771	315833	translation	200	1022	607	3063	847	822	61.275	0	1	12	0	3063	Dependoparvovirus	VP[dependo.XX-desmodus(-)]-NS[dependo.40-phyllostomidae(-)]
dependo.40-Carollia_perspicillata	dependo.40-phyllostomidae	40	dependo.40	Carollia_perspicillata	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Carollia	Carollia_perspicillata	low_coverage	CarPer_v1_BIUU	GCA_004027735.1_CarPer_v1_BIUU_genomic.fna	PVKM010047255.1	-	8525	11485	translation	700	1077	1795	2934	402	407	59.95	0	1	8	0	2961	Dependoparvovirus	VP[dependo.XX-desmodus(-)]-NS[dependo.40-phyllostomidae(-)]
dependo.40-Macrotus_californicus	dependo.40-phyllostomidae	40	dependo.40	Macrotus_californicus	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Macrotus	Macrotus_californicus	low_coverage	MacCal_v1_BIUU	GCA_007922815.1_MacCal_v1_BIUU_genomic.fna	VMDR010051664.1	+	3395	6086	translation	649	961	1278	2219	315	354	63.175	0	1	2	0	2692	Dependoparvovirus	NS[dependo.40-phyllostomidae(+)]-VP[dependo.XX-desmodus(+)]
dependo.40-Mormoops_blainvillei	dependo.40-phyllostomidae	40	dependo.40	Mormoops_blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops	Mormoops_blainvillei	low_coverage	MorMeg_v1	GCA_004026545.1_MorMeg_v1_BIUU_genomic.fna	PVJD01000288.1	+	295878	297671	Rep	151	344	1051	1644	198	279	75.758	6.16	91	2	0	1794	Dependoparvovirus	NS[dependo.32-chiroptera(+)]-NS[dependo.86-chiroptera(+)]
dependo.40-Mormoops_blainvillei	dependo.40-phyllostomidae	40	dependo.157	Mormoops_blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops	Mormoops_blainvillei	low_coverage	MorMeg_v1	GCA_004026545.1_MorMeg_v1_BIUU_genomic.fna	PVJD01001646.1	+	228360	236911	translated-genome	372	506	1146	1550	135	246	100	0	1	0	0	8552	Dependoparvovirus	NS[dependo.4-rhinocerotidae(+)]-VP[dependo.28-daubentonia(+)]-VP[dependo.4-rhinocerotidae(+)]
dependo.42-Chinchilla_lanigera	dependo.42-chinchilla	42	dependo.42	Chinchilla_lanigera	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla	Chinchilla_lanigera	low_coverage	broad_v0_2012	C_lanigera_v0.assembly.fasta_15.fa	scaffold00050	-	18094480	18095979	Rep	1	479	7	1464	486	985	98.56	0	1	1	0	1500	Dependoparvovirus	NS[dependo.42-chinchilla(-)]
dependo.43-Octodon_degus	dependo.43-octodon	43	dependo.43	Octodon_degus	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon	Octodon_degus	low_coverage	broad_1.0_july_2012	O_degus_v0.assembly.fasta_15.fa	scaffold00064	+	8427673	8429187	Rep	1	498	7	1506	500	1010	99.6	0	1	2	0	1515	Dependoparvovirus	NS[dependo.43-octodon(+)]
dependo.43-Erethizon_dorsatum	dependo.43-octodon	43	dependo.43	Erethizon_dorsatum	Mammalia	Euarchontoglires	Rodentia	Erethizontidae	Erethizon	Erethizon_dorsatum	low_coverage	GSC_porc_1.0	GCA_006547115.1_GSC_porc_1.0_genomic.fna	ML655423.1	-	14232217	14233737	Rep	1	492	7	1488	494	841	83.603	0	1	2	0	1521	Dependoparvovirus	NS[dependo.43-octodon(-)]
dependo.43-Ctenomys_sociabilis	dependo.43-octodon	43	dependo.43	Ctenomys_sociabilis	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	Ctenomys_sociabilis	low_coverage	CteSoc_v1	GCA_004027165.1_CteSoc_v1_BIUU_genomic.fna	PVKA01101974.1	-	1	1203	Rep	1	397	7	1203	399	697	85.965	0	1	2	0	1203	Dependoparvovirus	NS[dependo.43-octodon(-)]
dependo.43-Cuniculus_paca	dependo.43-octodon	43	dependo.43	Cuniculus_paca	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus	Cuniculus_paca	low_coverage	CunPac_v1_BIUU	GCA_004365215.1_CunPac_v1_BIUU_genomic.fna	RJWT010357308.1	-	3	1205	Rep	2	384	10	1155	385	526	72.208	0	1	5	0	1203	Dependoparvovirus	NS[dependo.43-octodon(-)]
dependo.43-Ctenomys_sociabilis	dependo.43-octodon	43	dependo.43	Ctenomys_sociabilis	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	Ctenomys_sociabilis	low_coverage	CteSoc_v1	GCA_004027165.1_CteSoc_v1_BIUU_genomic.fna	PVKA01046337.1	-	14471	14995	Rep	332	492	1	483	161	286	84.472	7.05	98	0	0	525	Dependoparvovirus	Rep78[dependo.XX-Ctenomys_sociabilis(-)]
dependo.43-Petromus_typicus	dependo.43-octodon	43	dependo.43	Petromus_typicus	Mammalia	Euarchontoglires	Rodentia	Petromuridae	Petromus	Petromus_typicus	low_coverage	PetTyp_v1_BIUU	GCA_004026965.1_PetTyp_v1_BIUU_genomic.fna	PVIR01059760.1	-	5218	5814	Rep	325	492	37	561	175	260	72.571	2.19	87	1	0	597	Dependoparvovirus	NS[dependo.43-octodon(-)]
dependo.43-Ctenomys_sociabilis	dependo.43-octodon	43	dependo.43	Ctenomys_sociabilis	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	Ctenomys_sociabilis	low_coverage	CteSoc_v1	GCA_004027165.1_CteSoc_v1_BIUU_genomic.fna	PVKA01044981.1	-	15209	15907	Rep	393	492	358	657	100	159	78	5.31	48	0	0	699	Dependoparvovirus	Rep78[dependo.XX-Ctenomys_sociabilis(-)]
dependo.45-Fukomys_damarensis	dependo.45-bathyergidae	45	dependo.45	Fukomys_damarensis	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Fukomys	Fukomys_damarensis	low_coverage	ncbi_1.0_2014	885580_ref_DMR_v1.0_chrUn.fa	gi|730053839|ref|NW_011044239.1|	-	3549538	3550881	Rep	1	448	1	1344	448	871	100	0	1	0	0	1344	Dependoparvovirus	NS[dependo.45-heterocephalus(-)]-NS[dependo.45-heterocephalus(-)]
dependo.45-Heterocephalus_glaber	dependo.45-bathyergidae	45	dependo.45	Heterocephalus_glaber	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus_glaber	low_coverage	goldenpath_hetGla2	hetGla2.fa_4.fa	JH602103	-	4913652	4914734	Rep	227	405	372	914	185	135	55.135	1.89	40	4	0	1083	Dependoparvovirus	NS[dependo.45-heterocephalus(-)]
dependo.46-Graphiurus_murinus	dependo.46-gliridae	46	dependo.46	Graphiurus_murinus	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	Graphiurus_murinus	low_coverage	GraMur_v1_BIUU	GCA_004027655.1_GraMur_v1_BIUU_genomic.fna	PVLC010001676.1	+	49624	51706	translated-genome	1	373	184	1293	373	620	83.646	0	1	2	0	2083	Dependoparvovirus	NS[dependo.46-glires(+)]
dependo.46-Apodemus_speciosus	dependo.46-gliridae	46	dependo.46	Apodemus_speciosus	Mammalia	Euarchontoglires	Rodentia	Muridae	Apodemus	Apodemus_speciosus	low_coverage	Aspe_assembly01	GCA_002335545.1_Aspe_assembly01_genomic.fna	BDUI01074050.1	-	1293	2146	translated-genome	352	498	405	851	149	295	95.973	5.03	140	2	0	854	Dependoparvovirus	VP[dependo.46-glires(-)]
dependo.46-Graphiurus_murinus	dependo.46-gliridae	46	dependo.46	Graphiurus_murinus	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	Graphiurus_murinus	low_coverage	GraMur_v1_BIUU	GCA_004027655.1_GraMur_v1_BIUU_genomic.fna	PVLC010002029.1	-	98795	99433	translated-genome	9	223	22	639	215	272	70.698	8.57	92	1	0	639	Dependoparvovirus	NS[dependo.46-glires(-)]
dependo.46-Graphiurus_murinus	dependo.46-gliridae	46	dependo.46	Graphiurus_murinus	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	Graphiurus_murinus	low_coverage	GraMur_v1_BIUU	GCA_004027655.1_GraMur_v1_BIUU_genomic.fna	PVLC010009320.1	+	24839	25087	translated-genome	56	135	10	249	80	78.6	51.25	1.43	20	0	0	249	Dependoparvovirus	NS[dependo.46-glires(+)]
dependo.47-Pedetes_capensis	dependo.47-pedetes	47	dependo.47	Pedetes_capensis	Mammalia	Euarchontoglires	Rodentia	Pedetidae	Pedetes	Pedetes_capensis	low_coverage	PedCap_v1_BIUU	GCA_007922755.1_PedCap_v1_BIUU_genomic.fna	VMDO01000768.1	+	227616	228605	translation	1	330	1	990	330	664	100	0	1	0	0	990	Dependoparvovirus	Rep78[dependo.XX-Pedetes_capensis(+)]
dependo.48-Mus_spicilegus	dependo.48-mus	48	dependo.48	Mus_spicilegus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	Mus_spicilegus	low_coverage	GCA_003336285.1_MUSP714	GCA_003336285.1_MUSP714_genomic.fna	QGOO01033878.1	-	103128	103427	Rep	1	79	61	297	79	148	93.671	3.75	50	0	0	300	Dependoparvovirus	NS[dependo.48-mus(-)]
dependo.48-Mus_castaneus	dependo.48-mus	48	dependo.48	Mus_castaneus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	Mus_castaneus	low_coverage	REL-1509-EiJ	CAST_EiJ.chromosomes.unplaced.gt2k.fa	chr8	-	93601101	93601397	Rep	1	79	64	294	79	146	96.203	1.85	49	1	0	297	Dependoparvovirus	NS[dependo.48-mus(-)]
dependo.48-Mus_musculus	dependo.48-mus	48	dependo.48	Mus_musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	Mus_musculus	complete	goldenpath_mm9	chr8.fa	chr8	-	95687607	95687903	Rep	1	79	64	294	79	144	94.937	9.58	49	1	0	297	Dependoparvovirus	NS[dependo.48-mus(-)]
dependo.48-Mus_spretus	dependo.48-mus	48	dependo.48	Mus_spretus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	Mus_spretus	low_coverage	SPRET_EiJ_v1	GCA_001624865.1_SPRET_EiJ_v1_genomic.fa	CM004101.1	-	92315592	92315885	Rep	1	79	61	291	79	139	92.405	1.31	46	1	0	294	Dependoparvovirus	NS[dependo.48-mus(-)]
dependo.48-Mus_caroli	dependo.48-mus	48	dependo.48	Mus_caroli	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	Mus_caroli	low_coverage	REL-1509_EiJ	CAROLI_EiJ.chromosomes.unplaced.gt2k.fa	chr8	-	84680344	84680580	Rep	2	79	1	234	78	132	87.179	2.95	44	0	0	237	Dependoparvovirus	NS[dependo.48-mus(-)]
