sequenceID	locus_name	locus_numeric_id	stem	host_species	sequence_length	Record_ID	host_class	host_superorder	host_order	host_family	host_genus	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure
proto.162-Gymnobelideus_leadbeateri	proto.162-Gymnobelideus	162	proto.162	Gymnobelideus_leadbeateri	2965	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01009024.1	-	232572	235536	translated-genome	329	965	1025	2962	646	1138	91.641	0	1	6	0	VP[proto.162.Gymnobelideus(-)]-NS[proto.162.Gymnobelideus(-)]
proto.163-Phascolarctos_cinereus	proto.163-Phascolarctos	163	proto.163	Phascolarctos_cinereus	2892	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00410	+	48800	51691	translated-genome	385	692	1173	2114	326	355	61.35	0	1	6	0	NS[proto.163.Phascolarctos(+)]-VP[proto.163.Phascolarctos(+)]-VP[proto.163.Phascolarctos(+)]
proto.164-Macropus_eugenii	proto.164-Macropus	164	proto.164	Macropus_eugenii	2556	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL150710	-	15685	18240	translated-genome	208	629	1282	2553	424	880	99.528	0	1	2	0	VP[proto.164.Macropus(-)]-VP[proto.164.Macropus(-)]-NS[proto.162.Gymnobelideus(-)]
proto.165-Phascolarctos_cinereus	proto.165-Phascolarctos	165	proto.165	Phascolarctos_cinereus	1472	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00130	+	7627093	7628564	translated-genome	230	485	690	1469	260	508	98.077	0	1	4	0	VP[proto.165.Phascolarctos(+)]-VP[proto.165.Phascolarctos(+)]
proto.166-Macropus_eugenii	proto.166-MacEug	166	proto.166	Macropus_eugenii	294	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL096756	-	10393	10686	translated-genome	399	496	1	294	98	121	61.224	8.73	36	0	0	VP[proto.166.Gymnobelideus(-)]
proto.167-Vombatus_ursinus	proto.167-VomUrs	167	proto.167	Vombatus_ursinus	342	66	Mammalia	Unclassified	Diprotodontia	Vombatidae	Vombatus	low_coverage	WM_v1.0	GCA_900497805.1_WM_v1.0_genomic.fna	UNPS01014861.1	+	5325581	5325922	translation	1	114	1	342	114	228	100	4.82	81	0	0	NS[proto.102-Tamandua(+)]
proto.168-Myocastor_coypus	proto.168-MyoCoy	168	proto.168	Myocastor_coypus	3832	26	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010037612.1	-	11313	15144	translation	1	1277	1	3831	1277	2113	100	0	1	0	0	VP[proto.140-Myocastor(-)]-NS[proto.108-Dinomys(-)]
proto.169-Macropus_eugenii	proto.169-MacEug	169	proto.169	Macropus_eugenii	444	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL084993	-	343	786	translation	1	148	1	444	148	251	100	4.58	89	0	0	VP[proto.154.Phascolarctos(-)]
proto.170-Graphiurus_murinus	proto.170-GraMur	170	proto.170	Graphiurus_murinus	3373	52	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	low_coverage	GraMur_v1_BIUU	GCA_004027655.1_GraMur_v1_BIUU_genomic.fna	PVLC010075717.1	+	356	3728	translation	1	1124	1	3372	1124	2085	100	0	1	0	0	NS[REF_Proto_HamsterPV(+)]-VP[proto.4-Mus_spicelagus(+)]
proto.171-Monodelphis_domestica	proto.171-MonDom	171	proto.171	Monodelphis_domestica	2493	5	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	complete	goldenpath_monDom5	chr3.fa	chr3	-	352564249	352566741	translation	1	831	1	2493	831	1583	100	0	1	0	0	VP[proto.101-Monodelphis(-)]-NS[proto.108-Dinomys(-)]
proto.172-Monodelphis_domestica	proto.172-MonDom	172	proto.172	Monodelphis_domestica	486	5	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	complete	goldenpath_monDom5	chr2.fa	chr2	-	341710146	341710631	translation	1	162	1	486	162	284	100	9.75	102	0	0	NS[REF_Tusavirus-KJ495710(-)]
proto.173-Graphiurus_murinus	proto.173-GraMur	173	proto.173	Graphiurus_murinus	318	52	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	low_coverage	GraMur_v1_BIUU	GCA_004027655.1_GraMur_v1_BIUU_genomic.fna	PVLC010098622.1	+	2001	2318	translation	1	106	1	318	106	218	100	1.66	77	0	0	VP[REF_Proto_MASTER_CPV(+)]
proto.174-Octodon_degus	proto.174-OctDeg	174	proto.174	Octodon_degus	1821	61	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon	low_coverage	broad_1.0_july_2012	O_degus_v0.assembly.fasta_33.fa	scaffold00312	-	1343538	1345358	translation	1	607	1	1821	607	1172	100	0	1	0	0	VP[proto.108-Dinomys(-)]-NS[proto.108-Dinomys(-)]
proto.176-Nannospalax_galili	proto.176-NanGal	176	proto.176	Nannospalax_galili	183	86	Mammalia	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	low_coverage	S.galili_v1.0	1026970_ref_S.galili_v1.0_chrUn.fa	gi|671650055|ref|NW_008360312.1|	-	2110666	2110848	translation	1	61	1	183	61	128	100	3.94	43	0	0	VP[proto.134-Dolichotis(-)]
proto.177-Erethizon_dorsatum	proto.177-EreDor	177	proto.177	Erethizon_dorsatum	951	131	Mammalia	Euarchontoglires	Rodentia	Erethizontidae	Erethizon	low_coverage	GSC_porc_1.0	GCA_006547115.1_GSC_porc_1.0_genomic.fna	ML655485.1	+	581245	582195	translation	1	317	1	951	317	501	100	0	1	0	0	NS[proto.139-Myocastor(+)]
proto.178-Erethizon_dorsatum	proto.178-EreDor	178	proto.178	Erethizon_dorsatum	4284	131	Mammalia	Euarchontoglires	Rodentia	Erethizontidae	Erethizon	low_coverage	GSC_porc_1.0	GCA_006547115.1_GSC_porc_1.0_genomic.fna	ML655467.1	+	4500230	4504513	translation	1	1428	1	4284	1428	2743	100	0	1	0	0	NS[proto.139-Myocastor(+)]-NS[proto.129-Dinomys(+)]-VP[proto.140-Myocastor(+)]-VP[proto.121-Cavia(+)]-VP[proto.108-Dinomys(+)]
proto.179-Microgale_talazaci	proto.179-MicTal	179	proto.179	Microgale_talazaci	863	14	Mammalia	Afrotheria	Unclassified	Tenrecidae	Microgale	low_coverage	MicTal_v1_BIUU	GCA_004026705.1_MicTal_v1_BIUU_genomic.fna	PVJH01011113.1	+	24513	25375	translation	1	287	1	861	287	566	100	0	1	0	0	NS[REF_Tusavirus-KJ495710(+)]
proto.180-Phascolarctos_cinereus	proto.180-PhaCin	180	proto.180	Phascolarctos_cinereus	2631	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00275	+	3102949	3105579	translation	1	877	1	2631	877	1712	100	0	1	0	0	NS[proto.102-Tamandua(+)]-VP[proto.154.Phascolarctos(+)]
proto.181-Phascolarctos_cinereus	proto.181-PhaCin	181	proto.181	Phascolarctos_cinereus	6260	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00039	+	8062397	8068656	translation	1	2086	1	6258	2086	3725	100	0	1	0	0	NS[proto.102-Tamandua(+)]-VP[proto.154.Phascolarctos(+)]-VP[proto.154.Phascolarctos(+)]
proto.182-Phascolarctos_cinereus	proto.182-PhaCin	182	proto.182	Phascolarctos_cinereus	1407	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00007	-	24712785	24714191	translation	1	469	1	1407	469	801	100	0	1	0	0	VP[proto.154.Phascolarctos(-)]-VP[proto.102-Tamandua(-)]
proto.183-Phascolarctos_cinereus	proto.183-PhaCin	183	proto.183	Phascolarctos_cinereus	2441	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00110	+	1348819	1351259	translation	1	813	1	2439	813	1638	100	0	1	0	0	NS[proto.102-Tamandua(+)]-VP[proto.154.Phascolarctos(+)]
proto.184-Phascolarctos_cinereus	proto.184-PhaCin	184	proto.184	Phascolarctos_cinereus	828	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00170	+	1686942	1687769	translation	1	276	1	828	276	565	100	0	1	0	0	NS[proto.152.Sarcophilus(+)]
proto.185-Phascolarctos_cinereus	proto.185-PhaCin	185	proto.185	Phascolarctos_cinereus	3735	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00082	+	8421405	8425139	translation	1	1245	1	3735	1245	2456	100	0	1	0	0	NS[proto.156.Phascolarctos(+)]-VP[proto.156.Phascolarctos(+)]-VP[proto.162.Gymnobelideus(+)]
proto.186-Phascolarctos_cinereus	proto.186-PhaCin	186	proto.186	Phascolarctos_cinereus	1794	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00041	+	9095494	9097287	translation	1	598	1	1794	598	1118	100	0	1	0	0	NS[proto.150.Gymnobelideus(+)]-VP[proto.131-Ctenomys(+)]
proto.187-Phascolarctos_cinereus	proto.187-PhaCin	187	proto.187	Phascolarctos_cinereus	5032	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00056	-	8158598	8163629	translation	1	1677	1	5031	1677	2959	100	0	1	0	0	VP[proto.154.Phascolarctos(-)]-VP[proto.108-Dinomys(-)]-NS[proto.160.Macropus(-)]
proto.188-Phascolarctos_cinereus	proto.188-PhaCin	188	proto.188	Phascolarctos_cinereus	618	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00287	+	2405140	2405757	translation	1	206	1	618	206	419	100	6.7	154	0	0	NS[proto.102-Tamandua(+)]
proto.189-Meriones_unguiculatus	proto.189-Rodentia	189	proto.189	Meriones_unguiculatus	393	254	Mammalia	Euarchontoglires	Rodentia	Muridae	Meriones	low_coverage	MunDraft-v1.0	GCA_002204375.1_MunDraft-v1.0_genomic.fna	NHTI01002096.1	+	256278	256670	translation	1	131	1	393	131	271	100	1.53	97	0	0	NS[dependo.6-elephantidae(+)]
proto.189-Mastomys_coucha	proto.189-Rodentia	189	proto.189	Mastomys_coucha	351	189	Mammalia	Euarchontoglires	Rodentia	Muridae	Mastomys	low_coverage	UCSF_Mcou_1	GCF_008632895.1_UCSF_Mcou_1_genomic.fna	NW_022196905.1	-	231510075	231510425	translation	1	125	1	351	125	110	52.8	1.74	34	3	0	Rep78[dependo.XX-Pipistrellus_pipistrellus(-)]
proto.189-Graphiurus_murinus	proto.189-Rodentia	189	proto.189	Graphiurus_murinus	408	52	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	low_coverage	GraMur_v1_BIUU	GCF_004785775.1_NIH_TR_1.0_genomic.fna	NW_021604646.1	+	9935592	9935999	translation	1	131	1	372	131	93.2	47.328	3	27	2	0	Rep78[dependo.XX-Neotoma_lepida(+)]
proto.189-Grammomys_surdaster	proto.189-Rodentia	189	proto.189	Grammomys_surdaster	408	67	Mammalia	Euarchontoglires	Rodentia	Muridae	Grammomys	low_coverage	NIH_TR_1.0	GCF_004785775.1_NIH_TR_1.0_genomic.fna	NW_021604646.1	+	9935592	9935999	translation	1	131	1	372	131	93.2	47.328	3	27	2	0	Rep78[dependo.XX-Neotoma_lepida(+)]
proto.189-Apodemus_sylvaticus	proto.189-Rodentia	189	proto.189	Apodemus_sylvaticus	330	33	Mammalia	Euarchontoglires	Rodentia	Muridae	Apodemus	low_coverage	GCA_001305905.1	GCA_001305905.1_ASM130590v1_genomic.fa	LIPJ01023269.1	-	15351	15680	translation	1	123	1	330	124	89.4	45.161	4.19	26	4	0	Rep78[dependo.XX-Neotoma_lepida(-)]
proto.189-Psammomys_obesus	proto.189-Rodentia	189	proto.189	Psammomys_obesus	192	185	Mammalia	Euarchontoglires	Rodentia	Muridae	Psammomys	low_coverage	ASM221593v1	GCA_002215935.1_ASM221593v1_genomic.fna	NESX01018114.1	-	1557	1748	translation	1	46	1	138	46	88.6	95.652	1.48	26	0	0	NS[dependo.46-glires(-)]
proto.189-Ellobius_lutescens	proto.189-Rodentia	189	proto.189	Ellobius_lutescens	336	73	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	low_coverage	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01000519.1	+	58968	59303	translation	1	120	1	336	121	84.7	47.107	3.22	24	3	0	Rep78[dependo.XX-Neotoma_lepida(+)]
proto.189-Ellobius_talpinus	proto.189-Rodentia	189	proto.189	Ellobius_talpinus	336	122	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	low_coverage	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01107152.1	+	5184	5519	translation	1	120	1	336	121	83.2	47.107	1.31	23	3	0	Rep78[dependo.XX-Neotoma_lepida(+)]
proto.189-Graphiurus_murinus	proto.189-Rodentia	189	proto.189	Graphiurus_murinus	468	52	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	low_coverage	GraMur_v1_BIUU	GCF_004785775.1_NIH_TR_1.0_genomic.fna	NW_021604646.1	+	9982632	9983099	translation	47	125	247	468	79	80.1	50.633	2.28	24	1	0	Rep78[dependo.XX-Neotoma_lepida(+)]
proto.189-Grammomys_surdaster	proto.189-Rodentia	189	proto.189	Grammomys_surdaster	468	67	Mammalia	Euarchontoglires	Rodentia	Muridae	Grammomys	low_coverage	NIH_TR_1.0	GCF_004785775.1_NIH_TR_1.0_genomic.fna	NW_021604646.1	+	9982632	9983099	translation	47	125	247	468	79	80.1	50.633	2.28	24	1	0	Rep78[dependo.XX-Neotoma_lepida(+)]
proto.190-Echinops_telfairi	proto.190-EchTel	190	proto.190	Echinops_telfairi	757	259	Mammalia	Afrotheria	Unclassified	Tenrecidae	Echinops	complete	goldenpath_echTel2	echTel2.fa	JH980294	-	81310193	81310949	translation	1	252	1	756	252	472	100	2.8	173	0	0	Rep78[dependo.XX-453_Echinops(-)]
proto.191-Myocastor_coypus	proto.191-MyoCoy	191	proto.191	Myocastor_coypus	3937	26	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010015145.1	+	29163	33099	translation	1	1312	1	3936	1312	2291	100	0	1	0	0	NS[proto.121-Cavia(+)]-VP[proto.121-Cavia(+)]-VP[proto.121-Cavia(+)]-VP[proto.121-Cavia(+)]
proto.192-Ctenomys_sociabilis	proto.192-CteSoc	192	proto.192	Ctenomys_sociabilis	1394	27	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	low_coverage	CteSoc_v1	GCA_004027165.1_CteSoc_v1_BIUU_genomic.fna	PVKA01022462.1	+	23584	24977	translation	1	464	1	1392	464	863	100	0	1	0	0	NS[proto.139-Myocastor(+)]-NS[proto.121-Cavia(+)]
proto.193-Ctenomys_sociabilis	proto.193-CteSoc	193	proto.193	Ctenomys_sociabilis	645	27	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	low_coverage	CteSoc_v1	GCA_004027165.1_CteSoc_v1_BIUU_genomic.fna	PVKA01048084.1	+	13088	13732	translation	1	201	1	603	201	413	100	2.8	151	0	0	NS[proto.139-Myocastor(+)]
proto.194-Sarcophilus_harrisii	proto.194-SarHar	194	proto.194	Sarcophilus_harrisii	1192	45	Mammalia	Unclassified	Dasyuromorphia	Dasyuridae	Sarcophilus	complete	goldenpath_sarHar1	sarHar1.fa_6.fa	chr6_GL864827_random	-	1912708	1913899	translation	1	397	1	1191	397	730	100	0	1	0	0	NS[proto.151.Phascolarctos(-)]
proto.195-Sarcophilus_harrisii	proto.195-SarHar	195	proto.195	Sarcophilus_harrisii	321	45	Mammalia	Unclassified	Dasyuromorphia	Dasyuridae	Sarcophilus	complete	goldenpath_sarHar1	sarHar1.fa_2.fa	chr2_GL841323_random	-	471422	471742	translation	1	107	1	321	107	215	100	2.7	76	0	0	NS[proto.121-Cavia(-)]
proto.196-Sarcophilus_harrisii	proto.196-SarHar	196	proto.196	Sarcophilus_harrisii	468	45	Mammalia	Unclassified	Dasyuromorphia	Dasyuridae	Sarcophilus	complete	goldenpath_sarHar1	sarHar1.fa_3.fa	chr2_GL842354_random	+	121527	121994	translation	1	156	1	468	156	249	100	2.76	88	0	0	NS[proto.121-Cavia(+)]
proto.197-Dinomys_branickii	proto.197-DinBra	197	proto.197	Dinomys_branickii	3866	46	Mammalia	Euarchontoglires	Rodentia	Dinomyidae	Dinomys	low_coverage	DinBra_v1	GCA_004027595.1_DinBra_v1_BIUU_genomic.fna	PVLD010030089.1	+	8060	11925	translation	1	1288	1	3864	1288	2362	100	0	1	0	0	NS[proto.139-Myocastor(+)]-VP[proto.108-Dinomys(+)]-VP[proto.108-Dinomys(+)]-VP[proto.108-Dinomys(+)]
proto.198-Monodelphis_domestica	proto.198-MonDom	198	proto.198	Monodelphis_domestica	2241	5	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	complete	goldenpath_monDom5	chr6.fa	chr6	+	113562645	113564885	translation	1	747	1	2241	747	1228	100	0	1	0	0	NS[proto.121-Cavia(+)]-VP[proto.156.Phascolarctos(+)]
proto.199-Orycteropus_afer	proto.199-OryAfe	199	proto.199	Orycteropus_afer	2448	54	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	low_coverage	broad_v0_2012	O_afer_v0.assembly.fa	scaffold00132	-	915945	918392	translation	1	816	1	2448	816	1484	100	0	1	0	0	VP[proto.102-Tamandua(-)]-NS[proto.102-Tamandua(-)]
proto.200-Orycteropus_afer	proto.200-OryAfe	200	proto.200	Orycteropus_afer	3733	54	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	low_coverage	broad_v0_2012	O_afer_v0.assembly.fa	scaffold00073	-	9405476	9409208	translation	1	1244	1	3732	1244	2319	100	0	1	0	0	VP[amdo.101-Orycteropus(-)]-NS[proto.111-Afrotheria(-)]
proto.201-Chrysochloris_asiatica	proto.201-ChrAsi	201	proto.201	Chrysochloris_asiatica	2248	55	Mammalia	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	low_coverage	broad_ChrAsi1.0_2012	C_asiatica_v0.assembly.fa	scaffold00010	+	34329499	34331746	translation	1	749	1	2247	749	1280	100	0	1	0	0	NS[proto.102-Tamandua(+)]-VP[proto.154.Phascolarctos(+)]
proto.202-Chrysochloris_asiatica	proto.202-ChrAsi	202	proto.202	Chrysochloris_asiatica	144	55	Mammalia	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	low_coverage	broad_ChrAsi1.0_2012	C_asiatica_v0.assembly.fa	scaffold00156	-	3606438	3606581	translation	1	48	1	144	48	98.2	100	1.3	31	0	0	NS[proto.102-Tamandua(-)]
proto.203-Gymnobelideus_leadbeateri	proto.203-GymLea	203	proto.203	Gymnobelideus_leadbeateri	495	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01000919.1	+	188701	189195	translation	1	165	1	495	165	338	100	2.52	123	0	0	VP[proto.163.Phascolarctos(+)]
proto.204-Gymnobelideus_leadbeateri	proto.204-GymLea	204	proto.204	Gymnobelideus_leadbeateri	1478	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01009729.1	-	648708	650185	translation	1	492	1	1476	492	916	100	0	1	0	0	NS[proto.152.Sarcophilus(-)]-NS[proto.152.Sarcophilus(-)]
proto.205-Gymnobelideus_leadbeateri	proto.205-GymLea	205	proto.205	Gymnobelideus_leadbeateri	1230	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01005829.1	-	82850	84079	translation	1	410	1	1230	410	800	100	0	1	0	0	VP[proto.154.Phascolarctos(-)]-VP[proto.163.Phascolarctos(-)]
proto.206-Gymnobelideus_leadbeateri	proto.206-GymLea	206	proto.206	Gymnobelideus_leadbeateri	639	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01002583.1	+	200792	201430	translation	1	213	1	639	213	405	100	5.54	148	0	0	NS[proto.121-Cavia(+)]
proto.207-Gymnobelideus_leadbeateri	proto.207-GymLea	207	proto.207	Gymnobelideus_leadbeateri	453	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01007206.1	-	499005	499457	translation	1	151	1	453	151	301	100	6.99	109	0	0	NS[proto.102-Tamandua(-)]
proto.208-Octodon_degus	proto.208-OctDeg	208	proto.208	Octodon_degus	276	61	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon	low_coverage	broad_1.0_july_2012	O_degus_v0.assembly.fasta_15.fa	scaffold00062	+	12296693	12296968	translation	1	92	1	276	92	193	100	4.44	68	0	0	VP[proto.121-Cavia(+)]
proto.209-Macropus_eugenii	proto.209-MacEug	209	proto.209	Macropus_eugenii	387	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL121440	-	39131	39517	translation	1	129	1	387	129	267	100	4.46	96	0	0	VP[proto.154.Phascolarctos(-)]
proto.210-Macropus_eugenii	proto.210-diprotodontia	210	proto.210	Macropus_eugenii	3166	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL152084	+	11645	14810	translation	1	606	1	1818	606	1164	100	0	1	0	0	NS[proto.152.Sarcophilus(+)]-VP[proto.152.Sarcophilus(+)]-VP[proto.152.Sarcophilus(+)]-VP[proto.143-Cuniculus(+)]
proto.211-Macropus_eugenii	proto.211-MacEug	211	proto.211	Macropus_eugenii	3241	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL161406	+	11420	14660	translation	358	838	1799	3241	481	867	100	0	1	0	0	NS[proto.152.Sarcophilus(+)]-VP[proto.164.Macropus(+)]-VP[proto.158.Macropus(+)]
proto.212-Macropus_eugenii	proto.212-MacEug	212	proto.212	Macropus_eugenii	1380	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL109622	+	44111	45490	translation	1	460	1	1380	460	894	100	0	1	0	0	NS[proto.150.Gymnobelideus(+)]
proto.213-Macropus_eugenii	proto.213-MacEug	213	proto.213	Macropus_eugenii	1709	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL089129	-	21741	23449	translation	1	569	1	1707	569	1043	100	0	1	0	0	NS[proto.139-Myocastor(-)]
proto.214-Macropus_eugenii	proto.214-MacEug	214	proto.214	Macropus_eugenii	450	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL146523	-	9161	9610	translation	1	150	1	450	150	293	100	6.11	106	0	0	NS[proto.121-Cavia(-)]
proto.215-Macropus_eugenii	proto.215-MacEug	215	proto.215	Macropus_eugenii	459	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL156485	+	10875	11333	translation	1	153	1	459	153	315	100	2.96	114	0	0	NS[proto.121-Cavia(+)]
proto.216-Macropus_eugenii	proto.216-MacEug	216	proto.216	Macropus_eugenii	1055	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL110448	-	5021	6075	translation	1	351	1	1053	351	680	100	0	1	0	0	VP[proto.162.Gymnobelideus(-)]-VP[proto.152.Sarcophilus(-)]
proto.217-Vombatus_ursinus	proto.217-VomUrs	217	proto.217	Vombatus_ursinus	609	66	Mammalia	Unclassified	Diprotodontia	Vombatidae	Vombatus	low_coverage	WM_v1.0	GCA_900497805.1_WM_v1.0_genomic.fna	UNPS01000582.1	-	8646482	8647090	translation	1	203	1	609	203	363	100	1.14	131	0	0	NS[proto.4-Mus_spicelagus(-)]
proto.218-Vombatus_ursinus	proto.218-VomUrs	218	proto.218	Vombatus_ursinus	321	66	Mammalia	Unclassified	Diprotodontia	Vombatidae	Vombatus	low_coverage	WM_v1.0	GCA_900497805.1_WM_v1.0_genomic.fna	UNPS01010284.1	-	5139367	5139687	translation	1	107	1	321	107	213	100	1.1	75	0	0	NS[proto.102-Tamandua(-)]
proto.219-Trichechus_manatus	proto.219-TriMan	219	proto.219	Trichechus_manatus	2995	78	Mammalia	Afrotheria	Sirenia	Trichechidae	Trichechus	complete	goldenpath_triMan1	triMan1.fa_2.fa	JH594625	-	3921196	3924190	translation	1	998	1	2994	998	1785	100	0	1	0	0	VP[proto.102-Tamandua(-)]-VP[proto.102-Tamandua(-)]-VP[proto.102-Tamandua(-)]-VP[proto.111-Afrotheria(-)]-NS[proto.111-Afrotheria(-)]
